match_id,innings,team,opposition,bowler_id,overs,balls,maidens,conceded,wickets,economy,dots,fours,sixes,wides,noballs
287858,1,Zimbabwe,England,10421.0,2.0,12.0,0.0,20.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0
287858,1,Zimbabwe,England,21364.0,2.0,12.0,0.0,29.0,0.0,14.5,4.0,3.0,2.0,1.0,0.0
287858,1,Zimbabwe,England,47619.0,3.0,18.0,0.0,24.0,1.0,8.0,6.0,0.0,2.0,1.0,0.0
287858,2,England,Zimbabwe,48440.0,4.0,24.0,0.0,29.0,1.0,7.25,11.0,5.0,0.0,0.0,0.0
287858,2,England,Zimbabwe,10829.0,3.0,18.0,0.0,31.0,0.0,10.33,4.0,3.0,1.0,0.0,0.0
287858,2,England,Zimbabwe,4271.0,3.0,18.0,0.0,18.0,0.0,6.0,8.0,2.0,0.0,0.0,0.0
287858,2,England,Zimbabwe,6769.0,4.0,24.0,0.0,18.0,3.0,4.5,12.0,0.0,1.0,0.0,0.0
287858,2,England,Zimbabwe,7184.0,4.0,24.0,0.0,15.0,2.0,3.75,10.0,0.0,0.0,0.0,0.0
287858,2,England,Zimbabwe,2314.0,2.0,12.0,0.0,23.0,1.0,11.5,2.0,1.0,1.0,1.0,0.0
287859,1,Pakistan,Pakistan,67884.0,3.0,18.0,0.0,22.0,1.0,7.25,8.0,2.0,0.0,0.0,0.0
287859,2,Pakistan,Pakistan,67884.0,3.0,18.0,0.0,22.0,1.0,7.25,8.0,2.0,0.0,0.0,0.0
287865,1,India,New Zealand,12020.0,3.0,18.0,0.0,37.0,1.0,12.33,8.0,4.0,3.0,0.0,0.0
287865,1,India,New Zealand,47123.0,4.0,24.0,0.0,29.0,2.0,7.25,12.0,5.0,0.0,2.0,0.0
287865,1,India,New Zealand,7129.0,4.0,24.0,0.0,40.0,0.0,10.0,8.0,3.0,2.0,0.0,0.0
287865,1,India,New Zealand,11399.0,2.0,12.0,0.0,16.0,0.0,8.0,4.0,2.0,0.0,1.0,0.0
287865,1,India,New Zealand,7139.0,4.0,24.0,0.0,24.0,2.0,6.0,12.0,1.0,1.0,1.0,0.0
287865,1,India,New Zealand,7716.0,3.0,18.0,0.0,38.0,1.0,12.66,4.0,2.0,3.0,0.0,0.0
287865,2,New Zealand,India,10280.0,4.0,24.0,0.0,39.0,1.0,9.75,7.0,5.0,1.0,0.0,0.0
287865,2,New Zealand,India,15357.0,4.0,24.0,0.0,42.0,0.0,10.5,9.0,6.0,1.0,2.0,0.0
287865,2,New Zealand,India,11922.0,3.0,18.0,0.0,38.0,1.0,12.66,3.0,6.0,1.0,0.0,0.0
287865,2,New Zealand,India,9989.0,2.0,12.0,0.0,14.0,1.0,7.0,4.0,2.0,0.0,0.0,0.0
287865,2,New Zealand,India,4380.0,4.0,24.0,0.0,20.0,4.0,5.0,12.0,1.0,1.0,0.0,0.0
287865,2,New Zealand,India,9570.0,3.0,18.0,0.0,25.0,0.0,8.33,2.0,3.0,0.0,0.0,0.0
287862,1,Pakistan,India,19627.0,4.0,24.0,0.0,18.0,4.0,4.5,17.0,3.0,0.0,1.0,0.0
287863,1,Sri Lanka,New Zealand,2166.0,4.0,24.0,0.0,27.0,0.0,6.75,9.0,2.0,1.0,0.0,0.0
287862,1,Pakistan,India,44908.0,4.0,24.0,0.0,27.0,0.0,6.75,12.0,4.0,0.0,1.0,0.0
287863,1,Sri Lanka,New Zealand,11271.0,4.0,24.0,0.0,31.0,2.0,7.75,9.0,1.0,1.0,1.0,0.0
287862,1,Pakistan,India,10394.0,4.0,24.0,0.0,39.0,1.0,9.75,9.0,2.0,3.0,0.0,0.0
287863,1,Sri Lanka,New Zealand,1988.0,4.0,24.0,0.0,25.0,1.0,6.25,7.0,2.0,0.0,0.0,0.0
287862,1,Pakistan,India,48128.0,4.0,24.0,0.0,18.0,1.0,4.5,11.0,1.0,0.0,1.0,0.0
287863,1,Sri Lanka,New Zealand,15522.0,4.0,24.0,0.0,50.0,1.0,12.5,5.0,0.0,4.0,2.0,0.0
287862,1,Pakistan,India,4169.0,4.0,24.0,0.0,37.0,2.0,9.25,6.0,2.0,2.0,0.0,0.0
287863,1,Sri Lanka,New Zealand,45105.0,4.0,24.0,0.0,28.0,1.0,7.0,8.0,2.0,1.0,1.0,0.0
287862,2,India,Pakistan,47123.0,4.0,24.0,0.0,23.0,1.0,5.75,15.0,2.0,1.0,3.0,0.0
287863,2,New Zealand,Sri Lanka,10280.0,4.0,24.0,0.0,45.0,0.0,11.25,9.0,7.0,1.0,0.0,0.0
287862,2,India,Pakistan,12020.0,4.0,24.0,0.0,29.0,0.0,7.25,12.0,4.0,0.0,1.0,1.0
287863,2,New Zealand,Sri Lanka,9711.0,3.0,18.0,0.0,23.0,0.0,7.66,9.0,3.0,1.0,0.0,0.0
287862,2,India,Pakistan,7129.0,4.0,24.0,0.0,35.0,1.0,8.75,7.0,5.0,0.0,0.0,0.0
287863,2,New Zealand,Sri Lanka,15357.0,2.5,17.0,0.0,29.0,0.0,10.23,7.0,1.0,2.0,1.0,0.0
287862,2,India,Pakistan,11399.0,4.0,24.0,1.0,20.0,2.0,5.0,14.0,3.0,0.0,1.0,0.0
287863,2,New Zealand,Sri Lanka,4380.0,4.0,24.0,0.0,23.0,2.0,5.75,9.0,0.0,1.0,0.0,0.0
287862,2,India,Pakistan,7139.0,4.0,24.0,0.0,32.0,1.0,8.0,6.0,2.0,1.0,0.0,0.0
287863,2,New Zealand,Sri Lanka,9570.0,3.0,18.0,0.0,16.0,1.0,5.33,8.0,2.0,0.0,0.0,0.0
287863,2,New Zealand,Sri Lanka,9989.0,2.0,12.0,0.0,21.0,0.0,10.5,4.0,1.0,1.0,0.0,0.0
287866,1,Australia,Bangladesh,5966.0,4.0,24.0,0.0,27.0,3.0,6.75,13.0,3.0,0.0,1.0,3.0
