t20i_match_no,match_id,match_name,series_id,series_name,match_date,match_format,team1_id,team1_name,team1_captain,team1_runs_scored,team1_wickets_fell,team1_extras_rec,team2_id,team2_name,team2_captain,team2_runs_scored,team2_wickets_fell,team2_extras_rec,match_venue_stadium,match_venue_city,match_venue_country,umpire_1,umpire_2,match_referee,toss_winner,toss_winner_choice,match_winner,match_result_text,mom_player,team1_playing_11,team2_playing_11,debut_players
1,211048,New Zealand Vs Australia Only T20I,238218,Australia tour of New Zealand  - 2005 (2004/05),2021-10-19,T20,2,Australia,2230,214.0,5.0,12.0,5,New Zealand,2121,170.0,10.0,2.0,Eden Park,Auckland,New Zealand,BF Bowden,AL Hill,CH Lloyd,Australia,bat,Australia,Australia won by 44 runs,2230.0,"['4176', '8876', '4382', '2230', '2066', '6259', '6256', '9235', '5966', '2243', '2101']","['10384', '2121', '7410', '9570', '5619', '1939', '9633', '10316', '2128', '10303', '9631']","['4176', '4176', '10316', '4382', '10384', '10384', '5966', '5966', '1939', '1939', '5619', '5619', '2066', '2066', '9631', '9631', '2101', '2101', '9633', '9633', '9235', '2128', '2128', '10303', '10303', '7410', '7410', '8876', '6256', '2243', '2230', '9570', '9570', '6259', '2121']"
2,211028,England Vs Australia Only T20I,238219,Australia tour of England and Scotland  - 2005 (2005),2021-10-19,T20,1,England,4709,179.0,8.0,6.0,2,Australia,2230,79.0,10.0,6.0,The Rose Bowl,Southampton,England,JW Lloyds,NJ Llong,JJ Crowe,England,bat,England,England won by 100 runs,8107.0,"['3865', '34719', '4271', '8107', '4709', '2314', '7023', '4661', '7037', '2160', '7041']","['4176', '2119', '4382', '8876', '6256', '2230', '2066', '5966', '2286', '2243', '2101']","['4271', '7023', '2160', '34719', '2286', '2286', '7037', '8107', '3865', '2119', '2119', '4709', '4709', '2314', '2314', '7041', '4661']"
3,222678,South Africa Vs New Zealand Only T20I,238166,New Zealand tour of South Africa  - 2005 (2005/06),2021-10-19,T20,3,South Africa,10406,133.0,10.0,8.0,5,New Zealand,2121,134.0,5.0,11.0,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,IL Howell,BC Broad,New Zealand,bowl,New Zealand,New Zealand won by 5 wickets (with 12 balls remaining),11922.0,"['2239', '10406', '2232', '2347', '6335', '3947', '2228', '4086', '9505', '7540', '4073']","['11922', '2121', '2235', '9633', '5619', '9570', '9989', '10384', '10303', '10316', '10280']","['9505', '6343', '4086', '7540', '10406', '2347', '9989', '9989', '2232', '9634', '9634', '11922', '11922', '6335', '4073', '3947', '2235', '2239', '10280', '10280', '2228']"
4,226374,Australia Vs South Africa Only T20I,226335,South Africa tour of Australia  - 2005 (2005/06),2021-10-19,T20,2,Australia,2230,209.0,3.0,15.0,3,South Africa,10406,114.0,10.0,1.0,Brisbane Cricket Ground,Brisbane,Australia,RL Parry,BNJ Oxenford,RG Archer,Australia,bat,Australia,Australia won by 95 runs,2066.0,"['9235', '2066', '2230', '4382', '8876', '6256', '6426', '6259', '7445', '6973', '9432']","['10406', '3978', '2347', '3947', '2228', '2232', '9630', '4013', '10401', '9429', '15625']","['4013', '3978', '6426', '9429', '9630', '10401', '9432', '15625', '7445', '6973', '6973']"
5,237242,New Zealand Vs West Indies Only T20I,237244,West Indies tour of New Zealand  - 2006 (2005/06),2021-10-19,T20,4,West Indies,2120,126.0,7.0,10.0,5,New Zealand,2121,126.0,8.0,10.0,Eden Park,Auckland,New Zealand,BF Bowden,AL Hill,MJ Procter,New Zealand,bowl,India,Match tied,45554.0,"['7568', '7406', '10460', '45554', '6401', '2120', '45257', '47111', '10451', '21239', '46591']","['10311', '2121', '2235', '9570', '1939', '35647', '9633', '10384', '9639', '10280', '11922']","['7568', '7406', '7406', '21239', '21239', '47111', '47111', '45257', '45257', '45554', '45554', '10451', '10451', '9639', '46591', '46591', '10311', '35647', '10460', '10460', '2120', '2120', '6401', '6401']"
6,238195,South Africa Vs Australia Only T20I,238137,Australia tour of South Africa  - 2006 (2005/06),2021-10-19,T20,3,South Africa,10406,201.0,4.0,17.0,2,Australia,2230,199.0,7.0,8.0,New Wanderers Stadium,Johannesburg,South Africa,KH Hurter,M Erasmus,BC Broad,South Africa,bat,South Africa,South Africa won by 2 runs,10406.0,"['10406', '7538', '2347', '2228', '4130', '46533', '4060', '4013', '9492', '2352', '4073']","['4176', '6259', '2230', '2066', '8876', '10125', '3328', '5966', '7445', '9432', '6973']","['46533', '3328', '4130', '7538', '4060', '9492', '2352', '10125']"
7,225271,England Vs Sri Lanka Only T20I,224906,Sri Lanka tour of England  - 2006 (2006),2006-06-15,T20,8,Sri Lanka,6315,163.0,10.0,12.0,1,England,7023,161.0,5.0,13.0,The Rose Bowl,Southampton,England,IJ Gould,NJ Llong,CH Lloyd,Sri Lanka,bat,Sri Lanka,Sri Lanka won by 2 runs,1988.0,"['1988', '11334', '6315', '7419', '9587', '5611', '48520', '11374', '45105', '11271', '7989']","['3865', '7023', '8107', '2314', '10647', '34719', '34739', '7233', '45443', '45098', '7041']","['48520', '11271', '7233', '11374', '10647', '9587', '45105', '45443', '6315', '7989', '7989', '5611', '45098', '1988', '7419', '34739', '11334', '11334']"
8,225263,England Vs Pakistan Only T20I,224904,Pakistan tour of England and Scotland  - 2006 (2006),2006-08-28,T20,1,England,7023,144.0,7.0,11.0,7,Pakistan,2034,148.0,5.0,10.0,County Ground,Bristol,England,NJ Llong,PJ Hartley,MJ Procter,England,bat,Pakistan,Pakistan won by 5 wickets (with 13 balls remaining),4169.0,"['3865', '7822', '8107', '7023', '2314', '10647', '8307', '6378', '45098', '2160', '48440']","['8270', '19647', '10439', '4169', '6455', '2034', '4178', '9257', '19820', '5649', '19627']","['4178', '6378', '7822', '2034', '9257', '8307', '19627', '19647', '6455', '19820', '4169', '5649', '8270', '48440', '10439']"
9,264065,Bangladesh Vs Zimbabwe Only T20I,264062,Zimbabwe tour of Bangladesh  - 2006 (2006/07),2006-11-28,T20,25,Bangladesh,47721,166.0,10.0,12.0,9,Zimbabwe,45326,123.0,9.0,5.0,Khulna Divisional Stadium,Khulna,Bangladesh,Enamul Haque,Nadir Shah,RS Madugalle,Zimbabwe,bowl,Bangladesh,Bangladesh won by 43 runs,24672.0,"['48385', '47721', '45558', '48277', '46505', '48384', '47986', '24672', '2200', '45159', '47353']","['45253', '10639', '45252', '10423', '47206', '21364', '6305', '4177', '45326', '47619', '46653']","['45159', '45159', '45558', '45558', '46653', '45253', '47619', '45252', '48384', '48384', '4177', '4177', '10423', '21364', '21364', '24672', '24672', '6305', '6305', '2200', '2200', '47986', '47986', '46505', '46505', '48385', '48385', '45326', '45326', '47206', '47206', '47353', '47353', '47721', '47721', '48277', '48277', '10639']"
10,255954,South Africa Vs India Only T20I,255953,India tour of South Africa  - 2006 (2006/07),2006-12-01,T20,3,South Africa,10406,126.0,9.0,13.0,6,India,7781,127.0,4.0,11.0,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,IL Howell,BC Broad,South Africa,bat,India,India won by 6 wickets (with 1 ball remaining),8813.0,"['10406', '7538', '2347', '6335', '46533', '9505', '4130', '9492', '7549', '2352', '7540']","['7781', '1934', '7730', '7593', '8813', '15716', '11399', '7139', '7678', '7129', '12020']","['7129', '7129', '8813', '8813', '7730', '7139', '11399', '7593', '7593', '1934', '1934', '12020', '12020', '15716', '15716', '7549', '7781', '7678']"
11,251487,New Zealand Vs Sri Lanka 1St T20I,251042,Sri Lanka tour of New Zealand  - 2006 (2006/07),2006-12-22,T20,5,New Zealand,2121,162.0,8.0,12.0,8,Sri Lanka,6315,62.0,1.0,3.0,Westpac Stadium,Wellington,New Zealand,EA Watkin,AL Hill,J Srinath,New Zealand,bat,Sri Lanka,Sri Lanka won by 18 runs (D/L method),1988.0,"['10384', '2121', '9639', '44930', '2235', '9634', '18948', '10316', '10280', '15357', '11922']","['11334', '1988', '6315', '9587', '1979', '8197', '48520', '11374', '2166', '11271', '2041']","['8197', '2166', '15357', '1979', '2041', '18948', '44930']"
12,251488,New Zealand Vs Sri Lanka 2Nd T20I,251042,Sri Lanka tour of New Zealand  - 2006 (2006/07),2006-12-26,T20,8,Sri Lanka,6315,115.0,10.0,12.0,5,New Zealand,2121,116.0,5.0,8.0,Eden Park,Auckland,New Zealand,BF Bowden,AL Hill,J Srinath,New Zealand,bowl,New Zealand,New Zealand won by 5 wickets (with 9 balls remaining),9639.0,"['11334', '48520', '6315', '9587', '1979', '7419', '8197', '7270', '45105', '11271', '7989']","['10384', '2121', '44930', '2235', '35647', '18948', '9639', '10316', '15357', '11922', '9992']","['7270', '9992']"
13,249227,Australia Vs England Only T20I,249147,England tour of Australia  - 2006 (2006/07),2007-01-09,T20,2,Australia,2230,221.0,5.0,4.0,1,England,4709,144.0,9.0,12.0,Sydney Cricket Ground,Sydney,Australia,RL Parry,PD Parker,RS Madugalle,Australia,bat,Australia,Australia won by 77 runs,12049.0,"['4176', '2119', '2230', '6256', '4382', '8876', '12049', '3328', '7445', '44865', '8399']","['7233', '4709', '4271', '8107', '7822', '2314', '4577', '10647', '7037', '10782', '10829']","['44865', '12049', '10829', '10782', '4577', '8399']"
14,255957,South Africa Vs Pakistan Only T20I,255956,Pakistan tour of South Africa  - 2007 (2006/07),2007-02-02,T20,7,Pakistan,10439,129.0,8.0,19.0,3,South Africa,10406,132.0,0.0,8.0,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,RE Koertzen,BC Broad,South Africa,bowl,South Africa,South Africa won by 10 wickets (with 51 balls remaining),7538.0,"['8177', '9257', '19647', '8270', '10439', '4169', '4178', '45765', '19820', '10443', '8273']","['10406', '7538', '46533', '6354', '6335', '9505', '2228', '4130', '9492', '2352', '10562']","['10443', '10562', '8177', '6354', '8273', '45765']"
15,258463,England Vs West Indies 1St T20I,258447,West Indies tour of England and Ireland  - 2007 (2007),2007-06-28,T20,4,West Indies,7568,208.0,8.0,16.0,1,England,2314,193.0,7.0,16.0,Kennington Oval,London,England,NJ Llong,PJ Hartley,MJ Procter,West Indies,bat,West Indies,West Indies won by 15 runs,2314.0,"['7568', '10494', '2120', '10238', '45257', '47111', '45554', '10460', '44829', '45258', '17837']","['45788', '11120', '10407', '8107', '2314', '6377', '6769', '8307', '48440', '4647', '10829']","['45788', '17837', '44829', '10494', '10494', '6769', '10407', '10238', '11120', '6377', '45258', '4647']"
16,258464,England Vs West Indies 2Nd T20I,258447,West Indies tour of England and Ireland  - 2007 (2007),2007-06-29,T20,4,West Indies,7568,169.0,7.0,7.0,1,England,2314,173.0,5.0,21.0,Kennington Oval,London,England,IJ Gould,NJ Llong,MJ Procter,West Indies,bat,England,England won by 5 wickets (with 3 balls remaining),6377.0,"['7568', '45256', '47136', '10238', '47111', '10460', '45554', '45257', '44829', '45258', '17837']","['45788', '11120', '10407', '8107', '2314', '6377', '6769', '8307', '48440', '4647', '10829']","['47136', '45256']"
17,306987,Kenya Vs Bangladesh 2Nd Match,306979,"Twenty20 Quadrangular (in Kenya) Bangladesh, Kenya, Pakistan, Uganda in Kenya - 2007 (2007/08)",2007-09-01,T20,26,Kenya,2265,138.0,7.0,6.0,25,Bangladesh,24667,139.0,5.0,6.0,Gymkhana Club Ground,Nairobi,Kenya,R D'Mello,SR Modi,MJ Procter,Bangladesh,bowl,Bangladesh,Bangladesh won by 5 wickets (with 14 balls remaining),45156.0,"['36623', '53285', '48189', '2265', '2268', '21463', '8207', '47179', '2278', '9228', '49761']","['48391', '45156', '45558', '24667', '35501', '47352', '24672', '48384', '47986', '45573', '45159']","['35501', '35501', '21463', '36623', '36623', '49761', '49761', '53285', '53285', '8207', '8207', '2278', '2278', '47352', '47352', '24667', '24667', '45156', '45156', '9228', '9228', '47179', '47179', '2265', '2265', '45573', '45573', '48391', '48391', '48189', '48189', '2268', '2268']"
18,306989,Bangladesh Vs Pakistan 4Th Match,306979,"Twenty20 Quadrangular (in Kenya) Bangladesh, Kenya, Pakistan, Uganda in Kenya - 2007 (2007/08)",2007-09-02,T20,7,Pakistan,8270,191.0,7.0,3.0,25,Bangladesh,24667,161.0,7.0,10.0,Gymkhana Club Ground,Nairobi,Kenya,R D'Mello,SR Modi,MJ Procter,Bangladesh,bowl,Pakistan,Pakistan won by 30 runs,8177.0,"['11647', '8177', '10439', '8270', '4169', '19596', '9257', '10394', '5649', '19396', '19627']","['48391', '45156', '45558', '24667', '35501', '47352', '24672', '48384', '47986', '45573', '45159']","['19396', '19596', '11647', '10394']"
19,306991,Kenya Vs Pakistan 6Th Match,306979,"Twenty20 Quadrangular (in Kenya) Bangladesh, Kenya, Pakistan, Uganda in Kenya - 2007 (2007/08)",2007-09-04,T20,26,Kenya,2268,92.0,10.0,10.0,7,Pakistan,8270,93.0,2.0,5.0,Gymkhana Club Ground,Nairobi,Kenya,IO Oyieko,SR Modi,MJ Procter,Kenya,bat,Pakistan,Pakistan won by 8 wickets (with 36 balls remaining),10439.0,"['36623', '8207', '48189', '21463', '2268', '4171', '51509', '47179', '2278', '9228', '49761']","['8270', '19647', '19596', '47099', '11647', '10439', '8177', '9257', '10443', '44908', '5649']","['51509', '51509', '47099', '4171', '4171', '44908']"
20,287853,South Africa Vs West Indies 1St Match Group A,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-11,T20,4,West Indies,6405,205.0,6.0,17.0,3,South Africa,10406,208.0,2.0,28.0,New Wanderers Stadium,Johannesburg,South Africa,DJ Harper,MR Benson,BC Broad,South Africa,bowl,South Africa,South Africa won by 8 wickets (with 14 balls remaining),7568.0,"['7568', '10494', '10238', '2120', '45554', '6405', '47111', '45257', '17837', '45258', '45774']","['10406', '2347', '46533', '6335', '3947', '2228', '9505', '4130', '46935', '4073', '47289']","['45774', '47289', '6405', '46935']"
21,287854,Kenya Vs New Zealand 2Nd Match Group C,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-12,T20,26,Kenya,2265,73.0,10.0,8.0,5,New Zealand,4380,74.0,1.0,10.0,Kingsmead,Durban,South Africa,BR Doctrove,SJA Taufel,MJ Procter,New Zealand,bowl,New Zealand,New Zealand won by 9 wickets (with 74 balls remaining),15357.0,"['10364', '36623', '48189', '2265', '21463', '2268', '49383', '51509', '8207', '47179', '9228']","['10311', '10384', '35647', '44930', '9570', '9989', '5619', '4380', '10280', '15357', '9711']","['9711', '4380', '10364', '10364', '49383', '49383']"
149,423788,New Zealand Vs Australia 2Nd T20I,423776,Australia tour of New Zealand  - 2010 (2009/10),2010-02-28,T20,5,New Zealand,4380,214.0,6.0,18.0,2,Australia,8876,214.0,4.0,6.0,AMI Stadium,Christchurch,New Zealand,CB Gaffaney,AL Hill,RS Madugalle,New Zealand,bat,India,Match tied (New Zealand won the one-over eliminator),10384.0,"['10384', '44820', '48927', '44930', '9639', '9710', '9989', '10386', '4380', '10280', '49108']","['48739', '6426', '8876', '11984', '12049', '12036', '50281', '44853', '12601', '17780', '47695']",[]
22,287855,Pakistan Vs Scotland 3Rd Match Group D,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-12,T20,7,Pakistan,8270,171.0,9.0,6.0,30,Scotland,45548,120.0,10.0,13.0,Kingsmead,Durban,South Africa,SJA Taufel,SJ Davis,MJ Procter,Scotland,bowl,Pakistan,Pakistan won by 51 runs,4169.0,"['11647', '8177', '19647', '10439', '8270', '4169', '19596', '9257', '10394', '44908', '19627']","['8225', '45548', '46142', '4334', '44588', '4228', '8221', '46091', '7236', '4968', '47873']","['8221', '8221', '7236', '7236', '47873', '4228', '8225', '8225', '4334', '4968', '4968', '46091', '46091', '46142', '44588', '44588', '45548', '45548']"
104,356005,Pakistan Vs Sri Lanka 15Th Match Group F,335113,ICC World Twenty20 in England - 2009 (2009),2009-06-12,T20,8,Sri Lanka,9587,150.0,7.0,20.0,7,Pakistan,10439,131.0,9.0,3.0,Lord's,London,England,MR Benson,RE Koertzen,BC Broad,Sri Lanka,bat,Sri Lanka,Sri Lanka won by 19 runs,7419.0,"['7419', '1988', '9587', '6315', '8197', '8203', '47023', '46206', '45105', '50377', '2041']","['11647', '9257', '8270', '10439', '19596', '4169', '47099', '48128', '44908', '51498', '19930']",[]
23,287856,Australia Vs Zimbabwe 4Th Match Group B,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-12,T20,2,Australia,2230,138.0,9.0,7.0,9,Zimbabwe,45326,139.0,5.0,7.0,Newlands,Cape Town,South Africa,Asad Rauf,AL Hill,RS Madugalle,Australia,bat,Zimbabwe,Zimbabwe won by 5 wickets (with 1 ball remaining),45253.0,"['4176', '2119', '2230', '4382', '6256', '6253', '6426', '5966', '10130', '7445', '6973']","['45240', '45253', '47619', '10421', '10639', '10423', '45252', '21364', '45326', '4177', '45215']","['6253', '10130', '10421', '10421', '45215', '45215', '45240']"
24,287857,Bangladesh Vs West Indies 5Th Match Group A,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-13,T20,4,West Indies,6405,164.0,8.0,10.0,25,Bangladesh,24667,165.0,4.0,13.0,New Wanderers Stadium,Johannesburg,South Africa,MR Benson,NJ Llong,BC Broad,Bangladesh,bowl,Bangladesh,Bangladesh won by 6 wickets (with 12 balls remaining),24667.0,"['7568', '10494', '2120', '10238', '6405', '47111', '45554', '45257', '17837', '45258', '45774']","['48391', '45156', '45558', '24667', '48277', '35501', '48384', '47986', '24672', '45573', '45159']",[]
25,287858,England Vs Zimbabwe 6Th Match Group B,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-13,T20,1,England,2314,188.0,9.0,4.0,9,Zimbabwe,45326,138.0,7.0,5.0,Newlands,Cape Town,South Africa,Asad Rauf,AL Hill,RS Madugalle,England,bat,England,England won by 50 runs,8107.0,"['4528', '11120', '44660', '8107', '2314', '4271', '6377', '6769', '7184', '48440', '10829']","['45240', '45253', '10421', '47619', '10639', '45252', '10423', '45326', '21364', '4177', '45215']","['7184', '4528', '44660']"
26,287859,India Vs Scotland 7Th Match Group D,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-13,T20,6,India,7593,149.0,7.0,9.0,30,Scotland,45548,129.0,6.0,7.0,Kingsmead,Durban,South Africa,SJA Taufel,SJ Davis,MJ Procter,Scotland,bowl,India,No result (abandoned with a toss),63116.0,"['7781', '8742', '7773', '7716', '7593', '8813', '7139', '11399', '47123', '7129', '12020']","['8225', '45548', '46142', '4334', '44588', '4228', '8221', '46091', '7236', '4968', '47873']","['7773', '8742', '47123', '7716']"
27,287860,Kenya Vs Sri Lanka 8Th Match Group C,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-14,T20,8,Sri Lanka,6315,260.0,6.0,12.0,26,Kenya,2265,88.0,9.0,11.0,New Wanderers Stadium,Johannesburg,South Africa,DJ Harper,NJ Llong,BC Broad,Kenya,bowl,Sri Lanka,Sri Lanka won by 172 runs,1988.0,"['11334', '1988', '9587', '6315', '8197', '7419', '8203', '15522', '11271', '45105', '2166']","['10364', '36623', '49383', '48189', '2265', '21463', '51509', '8207', '2278', '9228', '2268']","['15522', '8203']"
28,287861,Australia Vs England 9Th Match Group B,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-14,T20,1,England,2314,135.0,10.0,3.0,2,Australia,2230,136.0,2.0,2.0,Newlands,Cape Town,South Africa,Asad Rauf,IL Howell,RS Madugalle,England,bat,Australia,Australia won by 8 wickets (with 31 balls remaining),7445.0,"['4528', '11120', '44660', '8107', '2314', '4271', '6377', '6769', '7184', '48440', '6263']","['4176', '2119', '2230', '4382', '6256', '6253', '8876', '5966', '10130', '7445', '6973']",['6263']
29,287862,India Vs Pakistan 10Th Match Group D,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-14,T20,6,India,7593,141.0,9.0,5.0,7,Pakistan,8270,141.0,7.0,8.0,Kingsmead,Durban,South Africa,BR Doctrove,SJA Taufel,MJ Procter,Pakistan,bowl,India,Match tied,19627.0,"['7773', '7781', '8742', '7716', '8813', '7593', '11399', '7139', '7129', '12020', '47123']","['11647', '8177', '9257', '10439', '8270', '19596', '4169', '10394', '19627', '44908', '48128']",['48128']
30,287863,New Zealand Vs Sri Lanka 11Th Match Group C,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-15,T20,5,New Zealand,4380,164.0,7.0,13.0,8,Sri Lanka,6315,168.0,3.0,12.0,New Wanderers Stadium,Johannesburg,South Africa,DJ Harper,MR Benson,BC Broad,New Zealand,bat,Sri Lanka,Sri Lanka won by 7 wickets (with 7 balls remaining),1988.0,"['10311', '10384', '35647', '44930', '9570', '5619', '9989', '4380', '10280', '15357', '9711']","['11334', '1988', '9587', '6315', '8197', '7419', '8203', '15522', '11271', '45105', '2166']",[]
31,287864,South Africa Vs Bangladesh 12Th Match Group A,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-15,T20,25,Bangladesh,24667,144.0,10.0,14.0,3,South Africa,10406,146.0,3.0,2.0,Newlands,Cape Town,South Africa,Asad Rauf,AL Hill,RS Madugalle,South Africa,bowl,South Africa,South Africa won by 7 wickets (with 7 balls remaining),47289.0,"['48391', '45156', '45558', '24667', '48277', '35501', '24672', '48384', '47986', '45159', '45573']","['10406', '45222', '9505', '46533', '6335', '3947', '2228', '4130', '46935', '4073', '47289']",['45222']
